2018 hard hit % rankings top 150
                     Name  Hard%   wRC+    HR    SLG
478            Alex Avila  0.509   67.0   7.0  0.304
63         Matt Carpenter  0.490  140.0  36.0  0.523
277         Tyler Flowers  0.489   95.0   8.0  0.359
61         Eugenio Suarez  0.486  135.0  34.0  0.526
72          David Peralta  0.486  131.0  30.0  0.516
99             Tommy Pham  0.485  130.0  21.0  0.464
151            Joey Gallo  0.485  108.0  40.0  0.498
253       Franchy Cordero  0.482  103.0   7.0  0.439
44            Aaron Judge  0.481  150.0  27.0  0.528
86   Nicholas Castellanos  0.479  130.0  23.0  0.500
32       Christian Yelich  0.476  166.0  36.0  0.598
35              Max Muncy  0.474  162.0  35.0  0.582
167            Matt Olson  0.473  118.0  29.0  0.453
175        Hunter Renfroe  0.472  114.0  26.0  0.504
21              Luke Voit  0.470  188.0  15.0  0.671
215             Wil Myers  0.466  107.0  11.0  0.446
458            Erik Kratz  0.464   70.0   6.0  0.355
91         Miguel Cabrera  0.463  128.0   3.0  0.448
192           Chad Pinder  0.462  114.0  13.0  0.436
46       Paul Goldschmidt  0.462  146.0  33.0  0.533
206           Eric Thames  0.460  105.0  16.0  0.478
331        Salvador Perez  0.459   89.0  27.0  0.439
280        Mason Williams  0.458   94.0   2.0  0.398
82            Khris Davis  0.453  136.0  48.0  0.549
171         Tyler O'Neill  0.453  116.0   9.0  0.500
219         Marcell Ozuna  0.452  107.0  23.0  0.433
233          Rougned Odor  0.452   95.0  18.0  0.424
39          Justin Turner  0.450  154.0  14.0  0.518
31          J.D. Martinez  0.449  170.0  43.0  0.629
406         Hunter Dozier  0.449   79.0  11.0  0.395
268             Joe Mauer  0.448  100.0   6.0  0.379
178          A.J. Pollock  0.445  111.0  21.0  0.484
19           Mookie Betts  0.445  185.0  32.0  0.640
52           Trevor Story  0.445  128.0  37.0  0.567
434          Kole Calhoun  0.445   79.0  19.0  0.369
48       Ronald Acuna Jr.  0.444  143.0  26.0  0.552
138            Yandy Diaz  0.444  115.0   1.0  0.422
22             Mike Trout  0.444  190.0  39.0  0.628
244         Yadier Molina  0.444  105.0  20.0  0.436
94          Franmil Reyes  0.442  129.0  16.0  0.498
193     Robinson Chirinos  0.441  101.0  18.0  0.419
64          Jesus Aguilar  0.440  134.0  35.0  0.539
355      Steven Souza Jr.  0.440   85.0   5.0  0.369
81           Jesse Winker  0.439  127.0   7.0  0.431
76            Ji-Man Choi  0.438  136.0  10.0  0.505
