2020 hard hit % rankings top 50
                      Name  Hard%   wRC+    HR    SLG
54      Fernando Tatis Jr.  0.549  149.0  17.0  0.571
49            Corey Seager  0.520  151.0  15.0  0.585
23        Ronald Acuna Jr.  0.510  159.0  14.0  0.581
44            Jesse Winker  0.490  146.0  12.0  0.544
65       Teoscar Hernandez  0.488  146.0  16.0  0.579
78           Justin Turner  0.488  140.0   4.0  0.460
42               Wil Myers  0.479  154.0  15.0  0.606
234            Miguel Sano  0.479   99.0  13.0  0.478
352             Tommy Pham  0.476   78.0   3.0  0.312
461        Gregory Polanco  0.474   42.0   7.0  0.325
12           Marcell Ozuna  0.462  179.0  18.0  0.636
55         Travis d'Arnaud  0.457  145.0   9.0  0.533
401           Justin Smoak  0.449   62.0   5.0  0.361
57            Mookie Betts  0.445  149.0  16.0  0.562
169       Christian Walker  0.444  110.0   7.0  0.459
84            Eloy Jimenez  0.443  141.0  14.0  0.559
46          Anthony Rendon  0.437  156.0   9.0  0.497
63            Brandon Lowe  0.431  150.0  14.0  0.554
239             Matt Olson  0.429  103.0  14.0  0.424
11         Freddie Freeman  0.429  187.0  13.0  0.640
30          Salvador Perez  0.426  162.0  11.0  0.633
197            Jorge Soler  0.422  108.0   8.0  0.443
7                Juan Soto  0.421  200.0  13.0  0.695
81             Aaron Judge  0.420  140.0   9.0  0.554
170        Yasmani Grandal  0.419  117.0   8.0  0.422
52               Luke Voit  0.419  152.0  22.0  0.610
279           Justin Upton  0.419   95.0   9.0  0.422
102           A.J. Pollock  0.418  132.0  16.0  0.566
391           Ryan O'Hearn  0.416   65.0   2.0  0.301
183           Matt Chapman  0.416  116.0  10.0  0.535
34              Mike Trout  0.415  164.0  17.0  0.603
236              Max Muncy  0.414  100.0  12.0  0.389
345              Josh Bell  0.414   78.0   8.0  0.364
388           Gary Sanchez  0.413   69.0  10.0  0.365
178          Rafael Devers  0.412  109.0  11.0  0.483
318             Joey Gallo  0.412   77.0  10.0  0.378
160       Christian Yelich  0.411  112.0  12.0  0.430
112            Eric Hosmer  0.410  127.0   9.0  0.517
50          Alex Dickerson  0.410  151.0  10.0  0.576
29              Will Smith  0.409  163.0   8.0  0.579
278         Kyle Schwarber  0.408   90.0  11.0  0.393
17            Brandon Belt  0.407  173.0   9.0  0.591
90            Trevor Story  0.407  117.0  11.0  0.519
387              Joey Bart  0.403   70.0   0.0  0.320
105           Kole Calhoun  0.403  126.0  16.0  0.526
164            Colin Moran  0.402  114.0  10.0  0.472
326         Matt Carpenter  0.402   84.0   4.0  0.314
269           Ryan McMahon  0.402   76.0   9.0  0.419
411           Niko Goodrum  0.402   61.0   5.0  0.335
41            Bryce Harper  0.400  151.0  13.0  0.542
208       Andrew McCutchen  0.400  103.0  10.0  0.433
377       Stephen Piscotty  0.398   73.0   5.0  0.358
28              Jose Abreu  0.396  167.0  19.0  0.617
367            Eric Thames  0.395   67.0   3.0  0.317
94           Jason Heyward  0.393  130.0   6.0  0.456
173            Kyle Seager  0.392  118.0   9.0  0.433
142         Dansby Swanson  0.389  116.0  10.0  0.464
172  Vladimir Guerrero Jr.  0.388  115.0   9.0  0.462
319            Paul DeJong  0.387   86.0   3.0  0.349
56           Manny Machado  0.387  148.0  16.0  0.580
27             Nelson Cruz  0.386  164.0  16.0  0.595
268          Evan Longoria  0.382   94.0   7.0  0.425
167         Mike Moustakas  0.381  109.0   8.0  0.468
175         Cody Bellinger  0.380  114.0  12.0  0.455
393           Tyler Naquin  0.379   62.0   4.0  0.383
91            Rowdy Tellez  0.379  136.0   8.0  0.540
26           Dominic Smith  0.378  165.0  10.0  0.616
141            Kyle Tucker  0.378  125.0   9.0  0.512
110          J.T. Realmuto  0.376  125.0  11.0  0.491
364         Bryan Reynolds  0.375   72.0   7.0  0.357
342        Jose Marmolejos  0.373   84.0   6.0  0.411
106       Michael Brantley  0.373  134.0   5.0  0.476
130             Mark Canha  0.373  127.0   5.0  0.408
35        Mike Yastrzemski  0.372  160.0  10.0  0.568
127            Austin Nola  0.372  126.0   7.0  0.472
229       Asdrubal Cabrera  0.370   95.0   8.0  0.447
150           Willy Adames  0.369  124.0   8.0  0.481
328         Austin Meadows  0.369   86.0   4.0  0.371
313           Joc Pederson  0.368   88.0   7.0  0.397
157           Alex Bregman  0.367  122.0   6.0  0.451
163          Franmil Reyes  0.367  112.0   9.0  0.450
100      Anthony Santander  0.367  130.0  11.0  0.575
202   Nicholas Castellanos  0.367  102.0  14.0  0.486
25             Trea Turner  0.367  157.0  12.0  0.588
39        Michael Conforto  0.366  157.0   9.0  0.515
233          Orlando Arcia  0.366   96.0   5.0  0.416
103           Chris Taylor  0.366  131.0   8.0  0.476
162           Kevin Pillar  0.365  106.0   6.0  0.462
302           Sam Hilliard  0.365   71.0   6.0  0.438
118       Jake Cronenworth  0.364  125.0   4.0  0.477
287      Adalberto Mondesi  0.364   89.0   6.0  0.416
147             Joey Votto  0.364  114.0  11.0  0.446
95         Xander Bogaerts  0.362  130.0  11.0  0.502
96             Dylan Moore  0.362  139.0   8.0  0.496
70         George Springer  0.362  146.0  14.0  0.540
423            Javier Baez  0.362   57.0   8.0  0.360
140            Brad Miller  0.361  121.0   7.0  0.451
263             David Bote  0.360   92.0   7.0  0.408
357           Yuli Gurriel  0.360   79.0   6.0  0.384
237            Ji-Man Choi  0.360  103.0   3.0  0.410
92                Ian Happ  0.360  131.0  12.0  0.505
83       Jeimer Candelario  0.360  137.0   7.0  0.503
266          Carlos Correa  0.359   97.0   5.0  0.383
179      Willson Contreras  0.358  109.0   7.0  0.407
176         Harrison Bader  0.358  113.0   4.0  0.443
337          J.D. Martinez  0.357   77.0   7.0  0.389
144         Brian Anderson  0.356  121.0  11.0  0.465
402          Dylan Carlson  0.355   65.0   3.0  0.364
360           Carson Kelly  0.355   71.0   5.0  0.385
149          Jesus Aguilar  0.355  121.0   8.0  0.457
155           Byron Buxton  0.354  118.0  13.0  0.577
16             DJ LeMahieu  0.354  177.0  10.0  0.590
252          Shin-Soo Choo  0.354   87.0   5.0  0.400
213          Anthony Rizzo  0.353  103.0  11.0  0.414
76           Robinson Cano  0.351  141.0  10.0  0.544
316             Nick Solak  0.351   77.0   2.0  0.344
334          Shohei Ohtani  0.350   84.0   7.0  0.366
365         Hunter Renfroe  0.349   76.0   8.0  0.393
189         Randal Grichuk  0.349  112.0  12.0  0.481
168             J.D. Davis  0.348  117.0   6.0  0.389
327              Jake Cave  0.348   82.0   4.0  0.389
75        Ryan Mountcastle  0.347  139.0   5.0  0.492
188       Brandon Crawford  0.346  112.0   8.0  0.465
321              Joe Panik  0.344   86.0   1.0  0.300
148          Wilmer Flores  0.344  121.0  12.0  0.515
412             Evan White  0.343   66.0   8.0  0.346
267          Nolan Arenado  0.343   76.0   8.0  0.434
117         Donovan Solano  0.342  127.0   3.0  0.463
223              Matt Kemp  0.342   85.0   6.0  0.419
116            Sean Murphy  0.342  131.0   7.0  0.457
425           Elvis Andrus  0.341   48.0   3.0  0.330
235         Carlos Santana  0.341   95.0   8.0  0.350
199         Eugenio Suarez  0.341  104.0  15.0  0.470
336      Enrique Hernandez  0.339   83.0   5.0  0.410
191          David Peralta  0.338  107.0   5.0  0.433
284          Brian Goodwin  0.337   92.0   6.0  0.417
380         Michael Chavis  0.337   65.0   5.0  0.377
280           Austin Riley  0.336   89.0   8.0  0.415
198          Brett Gardner  0.333  110.0   5.0  0.392
22            Jose Ramirez  0.333  163.0  17.0  0.607
