2019 slash lines, with ops @ end
                     Name    AVG    OBP    SLG    OPS    HR     AB
19       Christian Yelich  0.329  0.429  0.671  1.100  44.0  489.0
20             Mike Trout  0.291  0.438  0.645  1.083  45.0  470.0
27         Yordan Alvarez  0.313  0.412  0.655  1.067  27.0  313.0
32         Cody Bellinger  0.305  0.406  0.629  1.035  47.0  558.0
29            Nelson Cruz  0.311  0.392  0.639  1.031  41.0  454.0
28           Alex Bregman  0.296  0.423  0.592  1.015  41.0  554.0
35         Anthony Rendon  0.319  0.412  0.598  1.010  34.0  545.0
31           David Freese  0.315  0.403  0.599  1.002  11.0  162.0
40           Mitch Garver  0.273  0.365  0.630  0.995  31.0  311.0
41             Joey Gallo  0.253  0.389  0.598  0.986  22.0  241.0
39            Ketel Marte  0.329  0.389  0.592  0.981  32.0  569.0
42        George Springer  0.292  0.383  0.591  0.974  39.0  479.0
44     Fernando Tatis Jr.  0.317  0.379  0.590  0.969  22.0  334.0
43         Howie Kendrick  0.344  0.395  0.572  0.966  17.0  334.0
47          Nolan Arenado  0.315  0.379  0.583  0.962  41.0  588.0
45              Juan Soto  0.282  0.401  0.548  0.949  34.0  542.0
57            Pete Alonso  0.260  0.358  0.583  0.941  53.0  597.0
51       Charlie Blackmon  0.314  0.364  0.576  0.940  32.0  580.0
53          J.D. Martinez  0.304  0.383  0.557  0.939  36.0  575.0
49        Xander Bogaerts  0.309  0.384  0.555  0.939  33.0  614.0
52        Freddie Freeman  0.295  0.389  0.549  0.938  38.0  597.0
50           Keston Hiura  0.303  0.368  0.570  0.938  19.0  314.0
72              Josh Bell  0.277  0.367  0.569  0.936  37.0  527.0
56            Bo Bichette  0.311  0.358  0.571  0.930  11.0  196.0
61         Eugenio Suarez  0.271  0.358  0.572  0.930  49.0  575.0
62          Carlos Correa  0.279  0.358  0.568  0.926  21.0  280.0
48          Anthony Rizzo  0.293  0.405  0.520  0.924  27.0  512.0
71            Miguel Sano  0.247  0.346  0.576  0.923  34.0  380.0
58          Jordan Luplow  0.276  0.372  0.551  0.923  15.0  225.0
73            Jorge Soler  0.265  0.354  0.569  0.922  48.0  589.0
67         Austin Meadows  0.291  0.364  0.558  0.922  33.0  530.0
60            Aaron Judge  0.272  0.381  0.540  0.921  27.0  378.0
64           Trevor Story  0.294  0.363  0.554  0.917  35.0  588.0
55            Jeff McNeil  0.318  0.384  0.531  0.916  23.0  510.0
76          Rafael Devers  0.311  0.361  0.555  0.916  32.0  647.0
69           Yoan Moncada  0.315  0.367  0.548  0.915  25.0  511.0
63           Mookie Betts  0.295  0.391  0.524  0.915  29.0  597.0
54             Mark Canha  0.273  0.396  0.517  0.913  26.0  410.0
66         Carlos Santana  0.281  0.397  0.515  0.911  34.0  573.0
75           Hunter Pence  0.297  0.358  0.552  0.910  18.0  286.0
85              Mike Ford  0.259  0.350  0.559  0.909  12.0  143.0
93             Will Smith  0.253  0.337  0.571  0.907  15.0  170.0
100       Corey Dickerson  0.304  0.341  0.565  0.906  12.0  260.0
68            Kris Bryant  0.282  0.382  0.521  0.903  31.0  543.0
79            Jose Altuve  0.298  0.353  0.550  0.903  31.0  500.0
74         Josh Donaldson  0.259  0.379  0.521  0.900  37.0  549.0
81           Trey Mancini  0.291  0.364  0.535  0.899  35.0  602.0
97               Ian Happ  0.264  0.333  0.564  0.898  11.0  140.0
96             Matt Olson  0.267  0.351  0.545  0.896  36.0  483.0
80             J.D. Davis  0.307  0.369  0.527  0.895  22.0  410.0
98            Brad Miller  0.260  0.329  0.565  0.894  13.0  154.0
77            DJ LeMahieu  0.327  0.375  0.518  0.893  26.0  602.0
83          Marcus Semien  0.285  0.369  0.522  0.892  33.0  657.0
115      Aristides Aquino  0.259  0.316  0.576  0.891  19.0  205.0
84              Max Muncy  0.251  0.374  0.515  0.889  35.0  487.0
91       Giovanny Urshela  0.314  0.355  0.534  0.889  21.0  442.0
95      Willson Contreras  0.272  0.355  0.533  0.888  24.0  360.0
103          Yuli Gurriel  0.298  0.343  0.541  0.884  31.0  564.0
78             Nick Solak  0.293  0.393  0.491  0.884   5.0  116.0
92       Ronald Acuna Jr.  0.280  0.365  0.518  0.883  41.0  626.0
114           Adam Duvall  0.267  0.315  0.567  0.882  10.0  120.0
102          Bryce Harper  0.260  0.372  0.510  0.882  35.0  573.0
89          Justin Turner  0.290  0.372  0.509  0.881  27.0  479.0
94          Dominic Smith  0.282  0.355  0.525  0.881  11.0  177.0
